type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_175K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_175K.txt,0.4712529182,1529,147.661934137
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_180K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_180K.txt,0.481359005,1529,151.82824111
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_185K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_185K.txt,0.5009019375,1527,155.508713007
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_190K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_190K.txt,0.4434289932,1524,159.378000021
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_195K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_195K.txt,0.5298199654,1521,167.377423048
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_200K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_200K.txt,0.5126368999,1522,172.419709921
,,,,,,,,
cmine,0.04,0.5,0.1,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.1_kosarak_125K.txt,0.3252840042,98,5.5690300465
cmine,0.04,0.5,0.2,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.2_kosarak_125K.txt,0.2960600853,131,7.7246119976
cmine,0.04,0.5,0.3,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.3_kosarak_125K.txt,0.2965331078,214,13.1298201084
cmine,0.04,0.5,0.4,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.4_kosarak_125K.txt,0.3002390862,341,21.5918400288
cmine,0.04,0.5,0.5,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.5_kosarak_125K.txt,0.3305680752,559,36.3025100231
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_125K.txt,0.3024990559,850,56.59811306
cmine,0.04,0.5,0.7,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.7_kosarak_125K.txt,0.2996630669,1277,85.2757849693
cmine,0.04,0.5,0.8,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.8_kosarak_125K.txt,0.2988469601,1879,129.726579905
cmine,0.04,0.5,0.9,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.9_kosarak_125K.txt,0.3385651112,3765,253.913099051
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_105K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_105K.txt,0.3380410671,845,50.7314488888
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_110K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_110K.txt,0.2966918945,846,50.4513168335
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_115K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_115K.txt,0.3732671738,850,53.0652980804
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_120K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_120K.txt,0.3489489555,852,55.3086330891
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_125K.txt,0.3349509239,850,56.8980228901
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_130K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_130K.txt,0.3849849701,850,59.7965028286
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_135K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_135K.txt,0.3362231255,854,65.2559351921
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_140K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_140K.txt,0.4038360119,853,64.3077249527
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_145K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_145K.txt,0.3782658577,853,65.6311888695
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_150K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_150K.txt,0.3809230328,854,67.4915320873
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_155K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_155K.txt,0.3938310146,848,70.5698108673
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_160K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_160K.txt,0.480905056,848,72.6487021446
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_165K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_165K.txt,0.4478189945,848,74.8094160557
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_170K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_170K.txt,0.4573040009,850,76.6842970848
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_175K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_175K.txt,0.4739570618,848,79.2516081333
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_180K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_180K.txt,0.4783818722,847,81.7746868134
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_185K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_185K.txt,0.4993491173,847,83.5677871704
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_190K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_190K.txt,0.4742200375,845,85.5572559834
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_195K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_195K.txt,0.4769511223,845,88.6411161423
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_200K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_200K.txt,0.4852638245,848,91.1922237873
,,,,,,,,
cmine,0.045,0.5,0.1,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.1_kosarak_125K.txt,0.3139379025,63,3.7440829277
cmine,0.045,0.5,0.2,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.2_kosarak_125K.txt,0.3145232201,76,4.6833250523
cmine,0.045,0.5,0.3,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.3_kosarak_125K.txt,0.2990500927,97,6.3455159664
cmine,0.045,0.5,0.4,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.4_kosarak_125K.txt,0.3088979721,129,8.281400919
cmine,0.045,0.5,0.5,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.5_kosarak_125K.txt,0.3138041496,200,12.6133229733
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_125K.txt,0.3138439655,264,17.5909519196
cmine,0.045,0.5,0.7,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.7_kosarak_125K.txt,0.3131508827,392,25.1929399967
cmine,0.045,0.5,0.8,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.8_kosarak_125K.txt,0.3198847771,503,31.8283948898
cmine,0.045,0.5,0.9,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.9_kosarak_125K.txt,0.313352108,987,63.5805640221
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_105K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_105K.txt,0.2684118748,263,14.0611140728
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_110K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_110K.txt,0.2780001163,264,15.0082299709
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_115K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_115K.txt,0.2920539379,264,16.435434103
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_120K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_120K.txt,0.3031220436,264,16.3088071346
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_125K.txt,0.3199028969,264,17.0149509907
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_130K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_130K.txt,0.3077008724,264,18.6036379337
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_135K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_135K.txt,0.3358960152,267,18.3356990814
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_140K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_140K.txt,0.3524289131,267,19.2821490765
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_145K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_145K.txt,0.3713200092,267,21.2579789162
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_150K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_150K.txt,0.3700888157,267,20.6424379349
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_155K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_155K.txt,0.361497879,267,22.8065428734
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_160K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_160K.txt,0.3939709663,267,22.0223300457
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_165K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_165K.txt,0.4045870304,267,22.7278258801
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_170K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_170K.txt,0.4213950634,267,23.8632612228
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_175K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_175K.txt,0.4323630333,267,23.939675808
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_180K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_180K.txt,0.4412858486,267,24.5954089165
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_185K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_185K.txt,0.449657917,267,25.0197398663
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_190K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_190K.txt,0.463367939,267,26.0243937969
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_195K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_195K.txt,0.4760849476,267,26.3979539871
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_200K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_200K.txt,0.4960169792,267,27.1559638977
,,,,,,,,
cmine,0.05,0.5,0.1,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.1_kosarak_125K.txt,0.3098640442,50,3.0854041576
cmine,0.05,0.5,0.2,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.2_kosarak_125K.txt,0.2969238758,58,3.9350030422
cmine,0.05,0.5,0.3,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.3_kosarak_125K.txt,0.3089671135,69,4.4925370216
cmine,0.05,0.5,0.4,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.4_kosarak_125K.txt,0.3175809383,82,5.464838028
