type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.04,0.5,0.6,80,../dataset/kosarak/kosarak_increment_80K.txt,./outputs/kosarak/kosarak_80_0.04_0.5_0.6_test_out.txt,9,22512,419.784889936
cmine_increment,0.04,0.5,0.6,85,../dataset/kosarak/kosarak_increment_85K.txt,./outputs/kosarak/kosarak_85_0.04_0.5_0.6_test_out.txt,8,22890,434.160786867
cmine_increment,0.04,0.5,0.6,90,../dataset/kosarak/kosarak_increment_90K.txt,./outputs/kosarak/kosarak_90_0.04_0.5_0.6_test_out.txt,7,23222,455.061552048
cmine_increment,0.04,0.5,0.6,95,../dataset/kosarak/kosarak_increment_95K.txt,./outputs/kosarak/kosarak_95_0.04_0.5_0.6_test_out.txt,7,23670,464.154074907
cmine_increment,0.04,0.5,0.6,100,../dataset/kosarak/kosarak_increment_100K.txt,./outputs/kosarak/kosarak_100_0.04_0.5_0.6_test_out.txt,8,24007,476.461920977
,,,,,,,,,
cmine_increment,0.045,0.5,0.1,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.1_kosarak.txt,0,14556,143.987540007
cmine_increment,0.045,0.5,0.2,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.2_kosarak.txt,1,14552,144.226102829
cmine_increment,0.045,0.5,0.3,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.3_kosarak.txt,1,14548,144.161002874
cmine_increment,0.045,0.5,0.4,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.4_kosarak.txt,1,14545,145.759132147
cmine_increment,0.045,0.5,0.5,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.5_kosarak.txt,8,14571,145.600737095
cmine_increment,0.045,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.6_kosarak.txt,3,14550,148.698636055
cmine_increment,0.045,0.5,0.7,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.7_kosarak.txt,14,14557,148.925891876
cmine_increment,0.045,0.5,0.8,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.8_kosarak.txt,5,14530,149.213464022
cmine_increment,0.045,0.5,0.9,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.9_kosarak.txt,41,14559,155.149034023
cmine_increment,0.045,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.045_0.5_0.6_test_out.txt,3,6917,78.0850811005
cmine_increment,0.045,0.5,0.6,10,../dataset/kosarak/kosarak_increment_10K.txt,./outputs/kosarak/kosarak_10_0.045_0.5_0.6_test_out.txt,2,9817,101.573813915
cmine_increment,0.045,0.5,0.6,15,../dataset/kosarak/kosarak_increment_15K.txt,./outputs/kosarak/kosarak_15_0.045_0.5_0.6_test_out.txt,2,12024,119.316880941
cmine_increment,0.045,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.045_0.5_0.6_test_out.txt,2,13373,132.668015003
cmine_increment,0.045,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.5_0.6_test_out.txt,3,14550,146.425895214
cmine_increment,0.045,0.5,0.6,30,../dataset/kosarak/kosarak_increment_30K.txt,./outputs/kosarak/kosarak_30_0.045_0.5_0.6_test_out.txt,2,15635,169.788609028
cmine_increment,0.045,0.5,0.6,35,../dataset/kosarak/kosarak_increment_35K.txt,./outputs/kosarak/kosarak_35_0.045_0.5_0.6_test_out.txt,3,16578,176.18964386
cmine_increment,0.045,0.5,0.6,40,../dataset/kosarak/kosarak_increment_40K.txt,./outputs/kosarak/kosarak_40_0.045_0.5_0.6_test_out.txt,3,17448,188.950978041
cmine_increment,0.045,0.5,0.6,45,../dataset/kosarak/kosarak_increment_45K.txt,./outputs/kosarak/kosarak_45_0.045_0.5_0.6_test_out.txt,3,18224,203.445275068
cmine_increment,0.045,0.5,0.6,50,../dataset/kosarak/kosarak_increment_50K.txt,./outputs/kosarak/kosarak_50_0.045_0.5_0.6_test_out.txt,3,18943,215.819434881
cmine_increment,0.045,0.5,0.6,55,../dataset/kosarak/kosarak_increment_55K.txt,./outputs/kosarak/kosarak_55_0.045_0.5_0.6_test_out.txt,3,19503,229.21016407
cmine_increment,0.045,0.5,0.6,60,../dataset/kosarak/kosarak_increment_60K.txt,./outputs/kosarak/kosarak_60_0.045_0.5_0.6_test_out.txt,3,20080,241.964756012
cmine_increment,0.045,0.5,0.6,65,../dataset/kosarak/kosarak_increment_65K.txt,./outputs/kosarak/kosarak_65_0.045_0.5_0.6_test_out.txt,3,20596,268.972605944
cmine_increment,0.045,0.5,0.6,70,../dataset/kosarak/kosarak_increment_70K.txt,./outputs/kosarak/kosarak_70_0.045_0.5_0.6_test_out.txt,3,21142,269.321233988
cmine_increment,0.045,0.5,0.6,75,../dataset/kosarak/kosarak_increment_75K.txt,./outputs/kosarak/kosarak_75_0.045_0.5_0.6_test_out.txt,3,22048,388.222108841
cmine_increment,0.045,0.5,0.6,80,../dataset/kosarak/kosarak_increment_80K.txt,./outputs/kosarak/kosarak_80_0.045_0.5_0.6_test_out.txt,3,22466,400.905181885
cmine_increment,0.045,0.5,0.6,85,../dataset/kosarak/kosarak_increment_85K.txt,./outputs/kosarak/kosarak_85_0.045_0.5_0.6_test_out.txt,3,22844,413.98710084
cmine_increment,0.045,0.5,0.6,90,../dataset/kosarak/kosarak_increment_90K.txt,./outputs/kosarak/kosarak_90_0.045_0.5_0.6_test_out.txt,3,23178,427.477390051
cmine_increment,0.045,0.5,0.6,95,../dataset/kosarak/kosarak_increment_95K.txt,./outputs/kosarak/kosarak_95_0.045_0.5_0.6_test_out.txt,3,23626,441.200970888
